Unnamed: 0,SMILES,ID,is_active,mw,logP,charge
0,CCN(CC)C(=O)[C@@H]1OC(C(O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,247120,1,343.3840000000001,-2.405099999999996,0
1,CCC[C@@](C)(OC)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424102,1,326.43700000000007,1.7037000000000002,0
2,CC[C@@H](CCc1ccccc1)O[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,129821,1,360.4540000000001,2.0297,0
3,CCCN(CCC)C(=O)[C@@H]1OC(C(O)=O)=C[C@H](N)[C@H]1NC(=O)C(F)(F)F,265778,1,381.35100000000006,0.3767000000000006,0
4,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@@H]2CCC=CCO2,424100,1,322.4050000000001,1.2337000000000005,0
5,CCN(CC)C(=O)[C@@H]1OC(C(O)O)=C[C@H](N)[C@H]1NC(C)=O,642823,1,301.3430000000001,-1.7197999999999964,0
6,CCC(CC)O[C@H]1C=C(C(O)=O)C[C@H](NC(N)=N)[C@@H]1NC(C)=O,129831,1,326.39700000000005,0.3312700000000027,0
7,CCC(C)O[C@H]1C=C(C(O)=O)C[C@H](NC(N)=N)[C@@H]1NC(C)=O,129958,1,312.37000000000006,-0.0588299999999983,0
8,CC(=O)N[C@H]1C([C@@H](O)[C@@H](O)CO)OC(C(O)=O)=C[C@@H]1NC(N)=N,22044,1,332.313,-3.5758299999999963,0
9,CO[C@@H](C=C)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424092,1,296.367,0.6995000000000002,0
10,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)O)=C[C@H](N=C(N)N)[C@H]2NC(C)=O,247094,1,433.5090000000001,-0.7921999999999949,0
11,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)O)=C[C@H](N)[C@H]2NC(C)=O,642829,1,391.4680000000001,-0.1068999999999983,0
12,CO[C@@H](CC=C)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424095,1,310.39400000000006,1.0896,0
13,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(=O)CC,265741,1,403.47900000000016,1.0571000000000008,0
14,CC(=O)NC1[C@@H](NC(N)=N)C=C(C(O)=O)O[C@H]1[C@H](O)C(O)CO,320904,1,332.31300000000005,-3.5758299999999976,0
15,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,228121,1,312.41,1.2853999999999997,0
16,CCC(CC)[C@H](NC(C)=O)[C@@H]1C[C@@H](C(O)=O)C[C@H]1N=C(N)N,227780,1,312.41400000000004,0.6801000000000026,0
17,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(O)=O)C[C@H]1NC(N)=N,228354,1,328.413,-0.1394299999999976,0
18,CCN(CC)C(=O)[C@@H]1OC(C(O)=O)=C[C@H](NC(N)=N)[C@@H]1NC(C)=O,162719,1,341.36800000000005,-1.4215299999999969,0
