,SMILES,ID,is_active,mw,logP,charge
0,CCN(CC)C(=O)[C@@H]1OC(C(O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,247120,1,343.3840000000001,-2.4050999999999956,0
1,CCC[C@@](C)(OC)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424102,1,326.43700000000007,1.7037000000000002,0
2,CC[C@@H](CCc1ccccc1)O[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,129821,1,360.4540000000001,2.0296999999999996,0
3,CCCN(CCC)C(=O)[C@@H]1OC(C(O)=O)=C[C@H](N)[C@H]1NC(=O)C(F)(F)F,265778,1,381.35100000000006,0.37670000000000065,0
4,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@@H]2CCC=CCO2,424100,1,322.4050000000001,1.2337000000000005,0
5,CCN(CC)C(=O)[C@@H]1OC(C(O)O)=C[C@H](N)[C@H]1NC(C)=O,642823,1,301.3430000000001,-1.7197999999999964,0
6,CCC(CC)O[C@H]1C=C(C(O)=O)C[C@H](NC(N)=N)[C@@H]1NC(C)=O,129831,1,326.39700000000005,0.33127000000000273,0
7,CCC(C)O[C@H]1C=C(C(O)=O)C[C@H](NC(N)=N)[C@@H]1NC(C)=O,129958,1,312.37000000000006,-0.05882999999999833,0
8,CC(=O)N[C@H]1C([C@@H](O)[C@@H](O)CO)OC(C(O)=O)=C[C@@H]1NC(N)=N,22044,1,332.313,-3.5758299999999963,0
9,CO[C@@H](C=C)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424092,1,296.367,0.6995000000000002,0
10,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)O)=C[C@H](N=C(N)N)[C@H]2NC(C)=O,247094,1,433.5090000000001,-0.7921999999999949,0
11,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)O)=C[C@H](N)[C@H]2NC(C)=O,642829,1,391.4680000000001,-0.10689999999999839,0
12,CO[C@@H](CC=C)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424095,1,310.39400000000006,1.0896,0
13,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(=O)CC,265741,1,403.47900000000016,1.0571000000000008,0
14,CC(=O)NC1[C@@H](NC(N)=N)C=C(C(O)=O)O[C@H]1[C@H](O)C(O)CO,320904,1,332.31300000000005,-3.5758299999999976,0
15,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,228121,1,312.41,1.2853999999999997,0
16,CCC(CC)[C@H](NC(C)=O)[C@@H]1C[C@@H](C(O)=O)C[C@H]1N=C(N)N,227780,1,312.41400000000004,0.6801000000000026,0
17,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(O)=O)C[C@H]1NC(N)=N,228354,1,328.413,-0.1394299999999976,0
18,CCN(CC)C(=O)[C@@H]1OC(C(O)=O)=C[C@H](NC(N)=N)[C@@H]1NC(C)=O,162719,1,341.36800000000005,-1.4215299999999969,0
19,CC[C@@H](CC=C)O[C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O,129296,1,296.367,0.9729999999999999,0
20,CC[C@@H](CCC1CCCCC1)O[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,130595,1,366.5020000000001,2.7574000000000005,0
21,CCCCCCC[C@H](CC)O[C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O,130570,1,354.49100000000004,2.7574000000000005,0
22,CC(=O)N[C@@H]1[C@@H](NC(N)=N)C=C(C(O)O)O[C@H]1C(O)[C@H](O)CO,247243,1,334.32900000000006,-4.349729999999996,0
23,CCC[C@@](C)(O)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424101,1,312.4100000000001,1.0495999999999999,0
24,CCC[C@H](O)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424084,1,298.383,0.6595000000000004,0
25,CCC(CC)C(NC(C)=O)[C@@H]1[C@@H](O)[C@@H](C(O)=O)C[C@H]1NC(N)=N,192932,1,328.413,-0.1394299999999976,0
26,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@@H](O)CC=C,424086,1,296.3670000000001,0.43550000000000055,0
27,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,115145,1,389.4520000000001,0.6670000000000011,0
28,CCCN(CCc2cccc(c1ccccc1)c2)C(=O)[C@@H]3OC(C(O)=O)=C[C@H](N)[C@H]3NC(C)=O,277548,1,465.55000000000024,2.3339999999999996,0
29,CCCN(CCc2ccc(c1ccccc1)cc2)C(=O)[C@@H]3OC(C(O)=O)=C[C@H](N)[C@H]3NC(C)=O,163226,1,465.55000000000024,2.3339999999999996,0
30,CCC(C)O[C@H]1C=C(C(O)=O)C[C@H](N)[C@@H]1NC(C)=O,130069,1,270.329,0.41680000000000017,0
31,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@@H](O)C=C,424082,1,282.34000000000003,0.04540000000000105,0
32,CC(=O)Nc1ccc(C(O)=O)cc1NC(N)=N,87625,1,236.231,0.6485700000000001,0
33,CC[C@H](O)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424080,1,284.35600000000005,0.26940000000000075,0
34,CC[C@H](CC=C)O[C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O,129362,1,296.367,0.9729999999999999,0
35,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(=O)C(F)(F)F,265738,1,443.4220000000001,1.2093999999999998,0
36,CCCN(CCc1cccc(O)c1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,277782,1,405.45100000000014,0.37260000000000126,0
37,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCC2,28765,1,281.35600000000005,0.08760000000000057,0
38,CCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,162485,1,375.42500000000007,0.2769000000000016,0
39,CC1CCC(C)N1C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,276725,1,325.36500000000007,-0.41489999999999805,0
40,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N=C(N)N)[C@H]2NC(C)=O,162626,1,431.49300000000017,-0.01829999999999593,0
41,CC(=O)NC([C@@H]2CCC(=C1SCCCS1)C2)C(O)=O,88734,1,301.433,2.4575000000000005,0
42,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCCC2,28861,1,295.3830000000001,0.47770000000000046,0
43,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCC[C@@H]2CO,28685,1,325.4090000000001,-0.16139999999999882,0
44,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@H]2CC=CCO2,424098,1,308.37800000000004,0.8436000000000008,0
45,CC[C@H](CCc1ccccc1)O[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,129819,1,360.4540000000001,2.0296999999999996,0
46,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCCCC2,28702,1,309.41000000000014,0.8678000000000003,0
